topic,source_of_truth,notes
__FILE_STATUS__,informative legacy mapping,This file is a legacy inheritance coverage aid only. It is non-canonical and must yield to the main bound spec, core enums, schemas, OpenAPI, and event contracts on any conflict.
run_state_model,V2.8+V2.9 merged,V2.8 主体；V2.9 增补 parked_manual/capsuleHealth/profileConformanceStatus
attempt_state_model,V2.8+V2.9 merged,V2.8 attempt 骨架；V2.9 增补 parked/quarantine/self-proof
claim_fencing_authoritative_clock,V2.8+V2.9 merged,V2.8 claim/failover；V2.9 minWriterSchemaVersion/write fence
mailbox_seal_scan_reopen,V2.8+V2.9 merged,V2.8 seal/scan；V2.9 archive/hold/certification coupling
journal_watermarks_committed,V2.8+V2.9 merged,V2.8 durable truth；V2.9 restore/archive/mixed deployment
effect_model_semantic_intent,V2.8+V2.9 merged,V2.8 effect truth；V2.9 capability lease/lineage input taint
opaque_executor_capability_broker,V2.9,V2.9 新增
runtime_profile_self_proof,V2.9,V2.9 新增
artifact_certification,V2.9,V2.9 新增
lineage_invalidation,V2.9,V2.9 新增
capsule_v8_hard_token_preflight,V2.9,V2.9 新增
policy_profiles_and_envelopes,V2.8+V2.9 merged,V2.8 官方 profile；V2.9 capability envelope 收口
measurement_contract,V2.8+V2.9 merged,V2.8 structured compare；V2.9 timing/deadline/weighted divergence
trace_and_watermark_gap,V2.9,V2.9 新增
parked_manual_rehydrate,V2.9,V2.9 新增
schema_evolution_unknown_field_preservation,V2.8+V2.9 merged,V2.8 读兼容；V2.9 写围栏
