scenario_id,name,workload_class,expected_route,expected_recovery_lane,expected_truth_objects,expected_blocking_behavior,metric_threshold_key,release_blocker,source
SC-V30-routing-chat-001,chat request selects chat route,chat,primary-chat,none,RouteDecision,none,scenario.acceptance.maxDecisionDivergence,true,assembly-pack-scenarios
SC-V30-routing-code-001,code repair request selects code route,code,primary-code,none,RouteDecision,none,scenario.acceptance.maxDecisionDivergence,true,assembly-pack-scenarios
SC-V30-routing-vision-001,vision input selects vision route,vision,primary-vision,none,RouteDecision,none,scenario.acceptance.maxDecisionDivergence,true,assembly-pack-scenarios
SC-V30-routing-fallback-001,transient fault falls back successfully,chat,fallback-chat-lite,cutover_fallback_route,RouteDecision;ProviderFailureRecord,no high-risk write until cutover truth record,scenario.acceptance.maxFallbackRate,true,assembly-pack-scenarios
SC-V30-routing-quota-001,quota exhausted cutover,reasoning,fallback-reasoning-budget,cutover_fallback_route,RouteDecision;ProviderFailureRecord,cutover performed only when policy enabled,scenario.acceptance.maxFallbackRate,true,assembly-pack-scenarios
SC-V30-memory-001,memory extract sync inject loop,memory_maintenance,primary-chat,none,MemoryArtifact;PromptInjectionReceipt,out-of-scope memory denied,scenario.acceptance.maxMemoryInjectionMissRate,true,assembly-pack-scenarios
SC-V30-repair-001,repair lane succeeds after verification,repair,primary-code,enter_repair_lane,RepairAttempt;RouteDecision,main state advances only after verification evidence,scenario.acceptance.maxRepairRegressionRate,true,assembly-pack-scenarios
SC-V30-repair-002,repair lane failure enters manual gate,repair,primary-code,park_manual,RepairAttempt;ParkRecord;RehydrationToken,automatic flow cannot mark high-risk repair completed,scenario.acceptance.maxRepairRegressionRate,true,assembly-pack-scenarios
SC-V30-lineage-001,reopened upstream blocks consumer,code,primary-code,none,ArtifactCertification;LineageEdge,block new high-risk writes,lineage.propagation.maxLagSec,true,core-spec-8.4
SC-V30-manual-001,park rehydrate route reevaluate,operator_adjudication,primary-chat,none,ParkRecord;RehydrationToken;RouteDecision,old attempt superseded; no high-risk effects on parked attempt,scenario.acceptance.maxDecisionDivergence,true,core-spec-8.3
